details_competition_type;date;start_altitude;finish_altitude;lenght;vertical_drop;coursesetter;coursesetter_nat;number_of_gates;start_time;total_rank;bib;name;country;total_time;season;birthdate;age;gender;skis;boots;poles;run;rank;run_time;location;location_country;wpc;wpc_fake;total_wcp_nat_last
Giant Slalom;2023-03-12;1278;843;;435;Valsecchi Renzo;SUI;52.0;12:30;;;SOLHEIM Fabian Wilkens;NOR;;2022_2023;1996-04-10;26.0;Male;Head;Head;;2;39.0;;KRANJSKA GORA;SLO;;;4228.0
Slalom;2022-03-09;1160;960;;200;Brun Loïc;FRA;76.0;20:45;;;SIMONET Sandro;SUI;;2021_2022;1995-07-05;27.0;Male;Rossignol;Rossignol;;2;44.0;;FLACHAU;AUT;;;5329.0
Super G;2021-12-17;2010;1410;2415.0;600;Evers Andreas;GER;42.0;11:45;25.0;10.0;WALDER Christian;AUT;1:27.35;2021_2022;1991-08-31;31.0;Male;Salomon;Salomon;;1;25.0;1:27.35;VAL GARDENA-GROEDEN;ITA;6.0;6.0;5258.0
Slalom;2021-01-30;1165;985;;180;Schwarzacher Paul;AUT;66.0;09:30;2.0;1.0;ZENHAEUSERN Ramon;SUI;1:38.74;2020_2021;1992-05-04;30.0;Male;Rossignol;Rossignol;Leki;1;2.0;50.72;CHAMONIX;FRA;80.0;80.0;4979.0
Super G;2023-01-14;1835;1355;1775.0;480;Feltrin Giovanni;ITA;30.0;11:00;;47.0;DURRER Delia;SUI;;2022_2023;2002-11-14;20.0;Female;Head;Head;;1;0.0;;ST. ANTON;AUT;;;4705.0
Slalom;2022-01-22;1004;811;;193;Hladnik Jani;RUS;63.0;10:15;;64.0;LAINE Tormis;EST;;2021_2022;2000-08-06;22.0;Male;Kaestle;;;1;63.0;;KITZBUEHEL;AUT;;;0.0
Slalom;2021-03-13;597;396;;201;Gfeller Tim;NOR;68.0;13:45;;;KOMSIC Andrea;CRO;;2020_2021;;;;;;;2;50.0;;ARE;SWE;;;0.0
Giant Slalom;2023-01-25;1148;758;;390;Girardi Valter;ITA;49.0;17:45;26.0;32.0;BISSIG Semyel;SUI;2:22.59;2022_2023;1998-01-19;25.0;Male;Atomic;Atomic;;1;30.0;1:12.43;SCHLADMING;AUT;5.0;1.0;5705.0
Giant Slalom;2021-10-24;3040;2670;;370;Krug Helmuth;SUI;46.0;13:30;3.0;23.0;KRANJEC Zan;SLO;2:06.04;2021_2022;1992-11-15;30.0;Male;Rossignol;Rossignol;Leki;2;13.0;1:01.84;SOELDEN;AUT;60.0;20.0;729.0
Giant Slalom;2023-01-08;1175;855;;320;Pfitscher Heini;SUI;39.0;12:30;;;BERTANI Luisa;BUL;;2022_2023;1996-06-14;26.0;Female;Voelkl;Dalbello;;2;61.0;;KRANJSKA GORA;SLO;;;159.0
Giant Slalom;2022-12-10;2400;2044;;356;Poljsak Sergej;SLO;50.0;10:30;21.0;8.0;STJERNESUND Thea Louise;NOR;2:32.28;2022_2023;1996-11-24;26.0;Female;Rossignol;Rossignol;;1;15.0;1:14.32;SESTRIERE;ITA;10.0;16.0;1846.0
Slalom;2021-01-26;958;744;;214;Theolier Jacques;ITA;65.0;20:45;;;HONG Dongkwan;KOR;;2020_2021;;;;;;;2;68.0;;SCHLADMING;AUT;;;0.0
Giant Slalom;2022-12-27;1335;1020;;315;Andersson Magnus;USA;43.0;13:00;;;HUDSON Piera;NZL;;2022_2023;1996-02-07;27.0;Female;Dynastar;Lange;;2;34.0;;SEMMERING;AUT;;;177.0
Slalom;2022-11-19;438;258;;180;Pini Mauro;SVK;68.0;14:00;;;LYSDAHL Kristin;NOR;;2022_2023;1996-06-29;26.0;Female;Rossignol;Rossignol;;2;34.0;;LEVI;FIN;;;1846.0
Slalom;2021-01-17;1160;960;;200;Brun Loïc;FRA;69.0;13:45;;;DVORNIK Aljaz;SLO;;2020_2021;;;;;;;2;38.0;;FLACHAU;AUT;;;0.0
Slalom;2022-12-29;1230;1020;;210;Racki Goran;CRO;61.0;15:00;28.0;22.0;TVIBERG Maria Therese;NOR;1:47.13;2022_2023;1994-04-07;28.0;Female;Head;Head;;1;27.0;53.28;SEMMERING;AUT;3.0;4.0;1846.0
Giant Slalom;2021-03-13;1278;846;;432;Courtney Will;USA;50.0;09:30;2.0;2.0;MEILLARD Loic;SUI;2:13.93;2020_2021;1996-10-29;26.0;Male;Rossignol;Rossignol;Leki;1;1.0;1:05.59;KRANJSKA GORA;SLO;80.0;100.0;4979.0
Giant Slalom;2022-12-10;2300;1850;;450;Pircher Michael;AUT;48.0;12:30;18.0;16.0;MUFFAT-JEANDET Victor;FRA;2:07.62;2022_2023;;;;;;;2;21.0;1:03.31;VAL D'ISERE;FRA;13.0;10.0;0.0
Giant Slalom;2022-03-13;1278;846;;432;Husby Anders;NOR;51.0;12:30;;;WAKATSUKI Hayata;JPN;;2021_2022;1999-01-26;24.0;Male;Salomon;Salomon;;2;63.0;;KRANJSKA GORA;SLO;;;0.0
Giant Slalom;2022-12-10;2400;2044;;356;Haarala Janne;NOR;51.0;13:30;;;MEILLARD Melanie;SUI;;2022_2023;1998-09-23;24.0;Female;Rossignol;Rossignol;Leki;2;36.0;;SESTRIERE;ITA;;;4705.0
Giant Slalom;2021-01-17;1229;843;;386;De Florian Paolo;ITA;46.0;12:15;16.0;17.0;SCHEIB Julia;AUT;2:22.23;2020_2021;1998-05-12;24.0;Female;Rossignol;Rossignol;;2;17.0;1:09.03;KRANJSKA GORA;SLO;15.0;14.0;3815.0
Slalom;2021-03-13;597;396;;201;Gemza Matej;SVK;70.0;10:30;3.0;5.0;HOLDENER Wendy;SUI;1:49.58;2020_2021;1993-05-12;29.0;Female;Head;Head;Leki;1;4.0;53.67;ARE;SWE;60.0;50.0;3753.0
Giant Slalom;2020-12-14;2175;1815;;360;Baldissarutti Matteo;SVK;47.0;13:00;27.0;10.0;LYSDAHL Kristin;NOR;2:24.64;2020_2021;1996-06-29;26.0;Female;Rossignol;Rossignol;;2;27.0;1:13.27;COURCHEVEL;FRA;4.0;4.0;1245.0
Slalom;2022-11-19;438;258;;180;Pini Mauro;SVK;68.0;14:00;;;MEILLARD Melanie;SUI;;2022_2023;1998-09-23;24.0;Female;Rossignol;Rossignol;Leki;2;44.0;;LEVI;FIN;;;4705.0
Slalom;2021-11-21;438;258;;180;Huttegger Gerhard;AUT;65.0;14:30;;;SCHMOTZ Marlene;GER;;2021_2022;1994-03-06;29.0;Female;Fischer;Fischer;Leki;2;42.0;;LEVI;FIN;;;794.0
Slalom;2021-01-16;1160;960;;200;Salej Rok;SLO;67.0;09:30;;63.0;LAINE Tormis;EST;;2020_2021;2000-08-06;22.0;Male;Kaestle;;;1;59.0;;FLACHAU;AUT;;;0.0
Slalom;2022-03-09;1160;960;;200;Brun Loïc;FRA;76.0;20:45;12.0;15.0;GSTREIN Fabio;AUT;1:53.55;2021_2022;1997-06-14;25.0;Male;Atomic;Atomic;;2;14.0;58.25;FLACHAU;AUT;22.0;18.0;5258.0
Giant Slalom;2022-03-12;1278;846;;432;Steiner Günther;AUT;52.0;12:30;14.0;22.0;SCHMID Alexander;GER;2:20.20;2021_2022;1994-06-09;28.0;Male;Head;Head;Leki;2;23.0;1:09.77;KRANJSKA GORA;SLO;18.0;8.0;1867.0
Giant Slalom;2020-10-17;3040;2670;;370;Gfeller Tim;NOR;47.0;10:00;;48.0;CILLARA ROSSI Valentina;ITA;;2020_2021;;;;;;;1;49.0;1:15.82;SOELDEN;AUT;;;0.0
Giant Slalom;2021-01-16;1229;843;;386;Kornberger Stefan;AUT;44.0;11:00;;42.0;RIIS-JOHANNESSEN Kristina;NOR;;2020_2021;;;;;;;1;32.0;1:08.16;KRANJSKA GORA;SLO;;;0.0
Slalom;2021-11-28;980;780;;200;Gfeller Tim;NOR;60.0;09:45;25.0;35.0;STOFFEL Elena;SUI;1:43.08;2021_2022;1996-05-27;26.0;Female;Dynastar;Lange;;1;20.0;52.61;KILLINGTON;USA;6.0;11.0;4758.0
Super G;2021-01-10;1947;1350;1945.0;597;Viale Marco;FRA;40.0;11:30;;50.0;IGNJATOVIC Nevena;SRB;;2020_2021;;;;;;;1;0.0;;ST. ANTON;AUT;;;0.0
Slalom;2021-01-31;1165;985;;180;Glasse-davies Tristan;GBR;63.0;09:30;;27.0;HAUGAN Timon;NOR;;2020_2021;1996-12-27;26.0;Male;Van Deer;;;1;52.0;;CHAMONIX;FRA;;;4399.0
Slalom;2021-11-20;438;258;;180;Harzl Georg;GER;64.0;11:30;13.0;14.0;DUBOVSKA Martina;CZE;1:48.59;2021_2022;1992-02-27;31.0;Female;Kaestle;;Leki;1;11.0;53.58;LEVI;FIN;20.0;24.0;641.0
Giant Slalom;2022-12-10;2400;2044;;356;Poljsak Sergej;SLO;50.0;10:30;;39.0;HAERRI Vivianne;SUI;;2022_2023;1999-09-08;23.0;Female;Stoeckli;;;1;45.0;1:16.38;SESTRIERE;ITA;;;4705.0
Slalom;2022-01-25;958;744;;214;Joris Matteo;SUI;65.0;20:45;;;RASCHNER Dominik;AUT;;2021_2022;1994-08-23;28.0;Male;Rossignol;Rossignol;Leki;2;40.0;;SCHLADMING;AUT;;;5258.0
Giant Slalom;2021-01-26;1580;1206;;374;Roten Joerg;SUI;45.0;13:30;;;BREM Eva-Maria;AUT;;2020_2021;;;;;;;2;60.0;;KRONPLATZ;ITA;;;0.0
Slalom;2022-01-22;1004;811;;193;Theolier Jacques;ITA;65.0;13:45;8.0;26.0;ROCHAT Marc;SUI;1:42.22;2021_2022;1992-12-18;30.0;Male;Nordica;Nordica;Leki;2;14.0;50.86;KITZBUEHEL;AUT;32.0;18.0;5329.0
Super G;2022-12-04;2206;1680;2549.0;526;FÜrbeck Andi;GER;39.0;11:00;27.0;40.0;SUTER Juliana;SUI;1:22.34;2022_2023;1998-04-23;24.0;Female;Atomic;Atomic;;1;27.0;1:22.34;LAKE LOUISE;CAN;4.0;4.0;4705.0
Super G;2020-12-12;2297;1810;1892.0;487;Anderson Peter;NOR;31.0;10:30;8.0;10.0;INNERHOFER Christof;ITA;1:02.22;2020_2021;1984-12-17;38.0;Male;Rossignol;Rossignol;;1;8.0;1:02.22;VAL D'ISERE;FRA;32.0;32.0;2205.0
Giant Slalom;2020-12-12;2175;1815;;360;Zoechling Hannes;AUT;48.0;12:30;;;TVIBERG Maria Therese;NOR;;2020_2021;1994-04-07;28.0;Female;Head;Head;;2;58.0;;COURCHEVEL;FRA;;;1245.0
Giant Slalom;2021-10-23;3040;2670;;370;Day Mike;USA;48.0;10:00;;73.0;SCHLEPER Sarah;MEX;;2021_2022;;;;;;;1;65.0;1:13.90;SOELDEN;AUT;;;0.0
Giant Slalom;2023-03-10;736;396;;340;Pichler Charly;AUT;43.0;10:00;12.0;17.0;HOLDENER Wendy;SUI;1:56.90;2022_2023;1993-05-12;29.0;Female;Head;Head;Leki;1;9.0;56.61;ARE;SWE;22.0;29.0;4705.0
Slalom;2023-01-28;944;757;;187;Poljsak Sergej;SLO;58.0;12:30;;;BELL Reece;GBR;;2022_2023;2001-08-27;21.0;Female;;;;2;46.0;;SPINDLERUV MLYN;CZE;;;88.0
Slalom;2020-12-29;1230;1020;;210;PoljŠak Sergej;SLO;64.0;15:15;3.0;6.0;SHIFFRIN Mikaela;USA;1:42.62;2020_2021;1995-03-13;27.0;Female;Atomic;Atomic;Leki;1;1.0;51.09;SEMMERING;AUT;60.0;100.0;1719.0
Giant Slalom;2023-03-12;1278;843;;435;Epstein Poul;SVK;53.0;09:30;;59.0;PERTL Adrian;AUT;;2022_2023;1996-04-22;26.0;Male;Voelkl;Dalbello;;1;57.0;;KRANJSKA GORA;SLO;;;5682.0
Giant Slalom;2021-01-26;1580;1206;;374;Roten Joerg;SUI;45.0;13:30;29.0;18.0;ALPHAND Estelle;SWE;2:23.55;2020_2021;1995-04-23;27.0;Female;Head;Head;Leki;2;29.0;1:17.02;KRONPLATZ;ITA;2.0;2.0;921.0
Slalom;2022-11-20;438;258;;180;Jonsson Per;SWE;66.0;14:15;;28.0;ASTNER Nina;AUT;;2022_2023;2000-07-24;22.0;Female;Fischer;Fischer;;2;60.0;;LEVI;FIN;;;4985.0
Super G;2021-12-02;3330;2730;1863.0;600;Anderson Pete;NOR;38.0;11:45;;58.0;SUNDIN Olle;SWE;;2021_2022;1997-12-17;25.0;Male;Head;Head;Leki;1;0.0;;BEAVER CREEK;USA;;;366.0
Giant Slalom;2022-12-18;1868;1420;;448;Thoule Nicola;FRA;57.0;13:30;;;SEGER Riley;CAN;;2022_2023;1997-04-21;25.0;Male;Rossignol;Rossignol;Leki;2;66.0;;ALTA BADIA;ITA;;;1184.0
Slalom;2021-01-16;1160;960;;200;Salej Rok;SLO;67.0;09:30;;62.0;FOURNIER Simon;CAN;;2020_2021;;;;;;;1;45.0;58.88;FLACHAU;AUT;;;0.0
Slalom;2022-12-11;2250;2044;;206;Harzl Georg;AUT;68.0;10:30;;49.0;CEDER Liv;SWE;;2022_2023;;;;;;;1;63.0;;SESTRIERE;ITA;;;0.0
Slalom;2023-01-04;950;768;;182;Mayrhofer Klaus;AUT;60.0;16:30;19.0;14.0;LYSDAHL Kristin;NOR;1:40.13;2022_2023;1996-06-29;26.0;Female;Rossignol;Rossignol;;2;21.0;48.69;ZAGREB;CRO;12.0;10.0;1846.0
Slalom;2021-03-12;597;396;;201;Brill Christian;SUI;67.0;13:30;;39.0;RASK Sara;SWE;;2020_2021;2000-03-16;22.0;Female;Rossignol;Rossignol;;1;26.0;53.05;ARE;SWE;;5.0;921.0
Giant Slalom;2021-10-24;3040;2670;;370;Krug Helmuth;SUI;46.0;13:30;;;KRYZL Krystof;CZE;;2020_2021;1986-10-12;36.0;Male;Atomic;Atomic;Leki;2;85.0;;SOELDEN;AUT;;;20.0
Slalom;2020-12-21;1610;1420;;190;Meynet Thierry;SUI;64.0;13:00;;;FOURNIER Simon;CAN;;2020_2021;;;;;;;2;47.0;;ALTA BADIA;ITA;;;0.0
Slalom;2022-12-11;2250;2044;;206;Harzl Georg;AUT;68.0;10:30;;22.0;NOENS Nastasia;FRA;;2022_2023;1988-09-12;34.0;Female;Salomon;Salomon;Leki;1;29.0;1:02.04;SESTRIERE;ITA;;2.0;1943.0
Super G;2021-03-18;2160;1560;1867.0;600;Pelkey Randy;USA;40.0;11:00;5.0;5.0;;AUT;;2020_2021;;;;;;;1;0.0;;LENZERHEIDE;SUI;45.0;;0.0
Slalom;2020-12-22;1733;1550;;183;Dogadkin Andrey;RUS;63.0;17:45;;53.0;SEYMOUR Jett;USA;;2020_2021;1998-11-05;24.0;Male;Fischer;Fischer;;1;59.0;;MADONNA DI CAMPIGLIO;ITA;;;1597.0
Giant Slalom;2022-12-28;1335;1020;;315;Gamper Manuel;SWE;43.0;13:00;;;ASTNER Nina;AUT;;2022_2023;2000-07-24;22.0;Female;Fischer;Fischer;;2;59.0;;SEMMERING;AUT;;;4985.0
Slalom;2022-01-09;1033;838;;195;Pini Mauro;SVK;59.0;09:30;27.0;52.0;LACHEB Kenza;FRA;1:49.34;2021_2022;1998-07-13;24.0;Female;Salomon;Salomon;;1;28.0;54.18;KRANJSKA GORA;SLO;4.0;3.0;850.0
Slalom;2023-01-24;958;744;;214;Masdal Ola;NOR;64.0;20:45;;;POPOV Albert;BUL;;2022_2023;1997-08-08;25.0;Male;Head;Head;Leki;2;28.0;;SCHLADMING;AUT;;3.0;159.0
Super G;2020-12-18;2010;1410;2415.0;600;Brunner Sepp;AUT;45.0;11:45;21.0;25.0;ROGER Brice;FRA;1:27.97;2020_2021;;;;;;;1;21.0;1:27.97;VAL GARDENA-GROEDEN;ITA;10.0;10.0;0.0
Giant Slalom;2020-12-05;2070;1730;;340;Krug Helmut;SUI;48.0;13:30;;;FALGOUX Remy;FRA;;2020_2021;;;;;;;2;42.0;;SANTA CATERINA;ITA;;;0.0
Giant Slalom;2022-03-13;1278;846;;432;Perrin Frédéric;FRA;52.0;09:30;;37.0;MAURBERGER Simon;ITA;;2021_2022;1995-02-20;28.0;Male;Atomic;Atomic;Leki;1;41.0;1:15.56;KRANJSKA GORA;SLO;;;1936.0
Slalom;2022-11-19;438;258;;180;Lenz Markus;GER;63.0;11:00;;67.0;HUDSON Piera;NZL;;2022_2023;1996-02-07;27.0;Female;Dynastar;Lange;;1;67.0;;LEVI;FIN;;;177.0
Slalom;2022-01-16;1475;1281;;194;Deldio Simone;FRA;64.0;10:15;2.0;15.0;YULE Daniel;SUI;1:41.70;2021_2022;1993-02-18;30.0;Male;Fischer;Fischer;Leki;1;8.0;52.15;WENGEN;SUI;80.0;32.0;5329.0
Giant Slalom;2023-01-07;1730;1310;;420;Kroisleitner Martin;AUT;55.0;13:30;25.0;3.0;GRAMMEL Anton;GER;2:36.17;2022_2023;1998-07-24;24.0;Male;Head;Head;;2;20.0;1:15.46;ADELBODEN;SUI;6.0;11.0;1655.0
Slalom;2022-01-09;1033;838;;195;Zoechling Hannes;AUT;62.0;12:30;28.0;2.0;HENSIEN Katie;USA;1:49.59;2021_2022;1999-12-01;23.0;Female;Rossignol;Rossignol;;2;28.0;55.24;KRANJSKA GORA;SLO;3.0;3.0;2154.0
Giant Slalom;2022-12-19;1868;1420;;448;Pozar Matjaz;SLO;56.0;10:00;;58.0;VINATZER Alex;ITA;;2022_2023;1999-09-22;23.0;Male;Atomic;Atomic;Leki;1;58.0;;ALTA BADIA;ITA;;;2600.0
Giant Slalom;2022-10-23;3040;2670;;370;Mitter Christian;NOR;46.0;10:00;10.0;19.0;FAVROT Thibaut;FRA;2:06.12;2022_2023;1994-12-22;28.0;Male;Dynastar;Lange;;1;17.0;1:01.70;SOELDEN;AUT;26.0;14.0;2251.0
Slalom;2020-11-21;438;258;;180;Magoni Livio;SVK;67.0;14:15;;;BISSIG Carole;SUI;;2020_2021;;;;;;;2;40.0;;LEVI;FIN;;;0.0
Giant Slalom;2021-10-24;3040;2670;;370;Krug Helmuth;SUI;46.0;13:30;20.0;;MAURBERGER Simon;ITA;2:07.51;2020_2021;1995-02-20;28.0;Male;Atomic;Atomic;Leki;2;5.0;1:01.74;SOELDEN;AUT;11.0;45.0;2205.0
Super G;2023-03-03;782;182;2170.0;600;Viale Marco;FRA;45.0;10:30;37.0;41.0;SUTER Juliana;SUI;1:29.86;2022_2023;1998-04-23;24.0;Female;Atomic;Atomic;;1;37.0;1:29.86;KVITFJELL;NOR;;;4705.0
Super G;2021-03-18;2160;1560;1867.0;600;Pelkey Randy;USA;40.0;11:00;3.0;3.0;;GER;;2020_2021;;;;;;;1;0.0;;LENZERHEIDE;SUI;60.0;;0.0
Slalom;2021-12-29;880;680;;200;Prevuznak Andrej;CZE;61.0;13:00;5.0;21.0;HOLDENER Wendy;SUI;1:43.14;2021_2022;1993-05-12;29.0;Female;Head;Head;Leki;2;3.0;50.63;LIENZ;AUT;45.0;60.0;4758.0
Slalom;2021-01-30;1165;985;;180;Suman Marko;CRO;58.0;12:30;25.0;17.0;GSTREIN Fabio;AUT;1:40.49;2020_2021;1997-06-14;25.0;Male;Atomic;Atomic;;2;26.0;48.29;CHAMONIX;FRA;6.0;5.0;3879.0
Slalom;2020-11-21;438;258;;180;Plattner Roland;AUT;66.0;11:15;;44.0;KOMSIC Andrea;CRO;;2020_2021;;;;;;;1;51.0;59.02;LEVI;FIN;;;0.0
Slalom;2021-01-03;988;768;;220;Huttegger Gerhard;AUT;70.0;16:00;;13.0;SLOKAR Andreja;SLO;;2020_2021;1997-10-15;25.0;Female;Nordica;Nordica;;2;62.0;;ZAGREB;CRO;;;787.0
Giant Slalom;2022-01-08;1730;1310;;420;Kroisleitner Martin;AUT;53.0;13:30;13.0;15.0;FAVROT Thibaut;FRA;2:38.37;2021_2022;1994-12-22;28.0;Male;Dynastar;Lange;;2;21.0;1:17.61;ADELBODEN;SUI;20.0;10.0;4141.0
Slalom;2023-01-10;1170;960;;210;Haarala Janne;NOR;68.0;20:45;;;VANREUSEL Kim;BEL;;2022_2023;;;;;;;2;27.0;;FLACHAU;AUT;;4.0;0.0
Giant Slalom;2022-01-25;1580;1206;;374;Haarala Janne;NOR;44.0;10:30;9.0;19.0;BUCIK Ana;SLO;2:04.86;2021_2022;1993-07-21;29.0;Female;Salomon;Salomon;Leki;1;28.0;1:02.62;KRONPLATZ;ITA;29.0;3.0;943.0
Slalom;2020-12-21;1610;1420;;190;Witteveen Einar;NOR;68.0;10:00;25.0;43.0;HOLZMANN Sebastian;GER;1:46.87;2020_2021;1993-03-22;29.0;Male;Voelkl;Dalbello;Leki;1;30.0;56.95;ALTA BADIA;ITA;6.0;1.0;1700.0
Giant Slalom;2021-10-24;3040;2670;;370;Brunner Bernd;GER;48.0;10:00;;39.0;FEURSTEIN Patrick;AUT;;2021_2022;1996-12-01;26.0;Male;Head;Head;Leki;1;79.0;1:06.48;SOELDEN;AUT;;;5258.0
Super G;2023-01-14;1835;1355;1775.0;480;Feltrin Giovanni;ITA;30.0;11:00;22.0;5.0;SIEBENHOFER Ramona;AUT;1:02.24;2022_2023;1991-07-29;31.0;Female;Fischer;Fischer;Leki;1;22.0;1:02.24;ST. ANTON;AUT;9.0;9.0;4985.0
Giant Slalom;2021-02-28;2060;1610;;450;Masdal Ola;SWE;52.0;11:00;;27.0;HADALIN Stefan;SLO;;2020_2021;;;;;;;1;35.0;1:15.89;BANSKO;BUL;;;0.0
Giant Slalom;2021-10-23;3040;2670;;370;Pellicier Lionel;FRA;48.0;13:15;6.0;23.0;HROVAT Meta;SLO;2:08.81;2021_2022;;;;;;;2;8.0;1:05.03;SOELDEN;AUT;40.0;32.0;0.0
Slalom;2022-12-29;1230;1020;;210;Racki Goran;CRO;61.0;15:00;6.0;3.0;SWENN LARSSON Anna;SWE;1:44.27;2022_2023;1991-06-18;31.0;Female;Head;Head;Leki;1;3.0;50.54;SEMMERING;AUT;40.0;60.0;1171.0
Giant Slalom;2021-02-27;2060;1610;;450;Suman Marko;CRO;52.0;11:00;;34.0;NOGER Cedric;SUI;;2020_2021;1992-05-17;30.0;Male;Stoeckli;;;1;46.0;1:14.17;BANSKO;BUL;;;4979.0
Giant Slalom;2021-01-08;1730;1310;;420;Pilarsky Mike;NOR;54.0;13:15;6.0;22.0;MEILLARD Loic;SUI;2:20.65;2020_2021;1996-10-29;26.0;Male;Rossignol;Rossignol;Leki;2;9.0;1:09.14;ADELBODEN;SUI;40.0;29.0;4979.0
Giant Slalom;2022-11-26;1066;782;;284;Simoncelli Daniele;ITA;35.0;10:00;10.0;13.0;STJERNESUND Thea Louise;NOR;1:45.22;2022_2023;1996-11-24;26.0;Female;Rossignol;Rossignol;;1;12.0;53.78;KILLINGTON;USA;26.0;22.0;1846.0
Slalom;2022-01-09;1513;1302;;211;Kroisleitner Martin;AUT;68.0;13:30;25.0;15.0;RODES Istok;CRO;1:52.05;2021_2022;1996-01-27;27.0;Male;VOELKL;Dalbello;;2;26.0;57.35;ADELBODEN;SUI;6.0;5.0;841.0
Slalom;2023-01-29;944;757;;187;Mitter Mark;USA;58.0;09:15;24.0;32.0;MEILLARD Melanie;SUI;1:33.69;2022_2023;1998-09-23;24.0;Female;Rossignol;Rossignol;Leki;1;16.0;46.82;SPINDLERUV MLYN;CZE;7.0;15.0;4705.0
Giant Slalom;2020-12-07;2070;1730;;340;Garner Ian;USA;45.0;10:00;;53.0;SEGER Riley;CAN;;2020_2021;1997-04-21;25.0;Male;Rossignol;Rossignol;Leki;1;54.0;1:06.81;SANTA CATERINA;ITA;;;396.0
Slalom;2022-01-09;1513;1302;;211;Kroisleitner Martin;AUT;68.0;13:30;;;RASSAT Paco;FRA;;2021_2022;1998-11-13;24.0;Male;Salomon;Salomon;;2;53.0;;ADELBODEN;SUI;;;4141.0
Slalom;2021-03-13;597;396;;201;Gemza Matej;SVK;70.0;10:30;;31.0;HILZINGER Jessica;GER;;2020_2021;1997-05-26;25.0;Female;Head;Head;;1;49.0;;ARE;SWE;;;1294.0
Slalom;2022-01-25;958;744;;214;Thoule Nicolas;FRA;68.0;17:45;23.0;44.0;RITCHIE Benjamin;USA;1:47.62;2021_2022;2000-09-05;22.0;Male;Dynastar;Lange;;1;11.0;52.54;SCHLADMING;AUT;8.0;24.0;1151.0
Super G;2021-01-30;1308;770;2180.0;538;Scheiber Florian;AUT;39.0;11:00;19.0;4.0;HAEHLEN Joana;SUI;1:17.57;2020_2021;1992-01-23;31.0;Female;Atomic;Atomic;Leki;1;19.0;1:17.57;GARMISCH-PARTENKIRCHEN;GER;12.0;12.0;3753.0
Slalom;2022-12-11;2053;1850;;203;Masdal Ola;NOR;59.0;12:30;25.0;16.0;PERTL Adrian;AUT;1:41.11;2022_2023;1996-04-22;26.0;Male;Voelkl;Dalbello;;2;25.0;49.52;VAL D'ISERE;FRA;6.0;6.0;5682.0
Giant Slalom;2022-12-10;2400;2044;;356;Poljsak Sergej;SLO;50.0;10:30;;28.0;O BRIEN Nina;USA;;2022_2023;1997-11-29;25.0;Female;Rossignol;Rossignol;;1;42.0;1:16.23;SESTRIERE;ITA;;;2268.0
Giant Slalom;2022-12-19;1868;1420;;448;Garner Ian;USA;55.0;13:30;21.0;5.0;GRAMMEL Anton;GER;2:41.89;2022_2023;1998-07-24;24.0;Male;Head;Head;;2;6.0;1:17.42;ALTA BADIA;ITA;10.0;40.0;1655.0
Giant Slalom;2021-10-24;3040;2670;;370;Krug Helmuth;SUI;46.0;13:30;;;DRUKAROV Andrej;LTU;;2020_2021;1999-05-10;23.0;Male;Rossignol;Rossignol;;2;86.0;;SOELDEN;AUT;;;0.0
Slalom;2021-03-06;1450;1250;;200;Agazzi Luca;CAN;64.0;09:30;16.0;11.0;CURTONI Irene;ITA;1:48.49;2020_2021;;;;;;;1;16.0;54.22;JASNA;SVK;15.0;15.0;0.0
Giant Slalom;2023-03-11;1278;843;;435;Velez Romain;FRA;51.0;12:30;;;WAKATSUKI Hayata;JPN;;2022_2023;1999-01-26;24.0;Male;Salomon;Salomon;;2;55.0;;KRANJSKA GORA;SLO;;;41.0
Super G;2021-12-19;2408;1810;2035.0;598;Platzer Roland;SUI;40.0;11:00;35.0;38.0;PICHLER Karoline;ITA;1:21.83;2021_2022;1994-10-30;28.0;Female;Head;Head;Leki;1;35.0;1:21.83;VAL D'ISERE;FRA;;;3799.0
Slalom;2022-01-16;1475;1281;;194;Deldio Simone;FRA;64.0;10:15;18.0;27.0;MARCHANT Armand;BEL;1:43.16;2021_2022;1997-12-14;25.0;Male;Salomon;Salomon;;1;30.0;53.35;WENGEN;SUI;13.0;1.0;40.0
Slalom;2022-01-09;1033;838;;195;Zoechling Hannes;AUT;62.0;12:30;13.0;16.0;MOLTZAN Paula;USA;1:47.22;2021_2022;1994-04-07;28.0;Female;Rossignol;Rossignol;;2;15.0;53.69;KRANJSKA GORA;SLO;20.0;16.0;2154.0
Giant Slalom;2021-10-24;3040;2670;;370;Krug Helmuth;SUI;46.0;13:30;;;HAUGAN Timon;NOR;;2020_2021;1996-12-27;26.0;Male;Van Deer;;;2;138.0;;SOELDEN;AUT;;;4399.0
Slalom;2021-01-31;1165;985;;180;Vuignier Julien;SUI;60.0;12:30;;;HONG Dongkwan;KOR;;2020_2021;;;;;;;2;29.0;;CHAMONIX;FRA;;2.0;0.0
Slalom;2023-01-08;1513;1302;;211;Enocson Calle;SWE;68.0;10:30;25.0;18.0;RAZZOLI Giuliano;ITA;1:52.62;2022_2023;1984-12-18;38.0;Male;Fischer;Dalbello;Gabel S.r.i. Unipersonale;1;33.0;57.76;ADELBODEN;SUI;6.0;;2600.0
